Fried Green Tomatoes, United States
Reindeer Sausage, United States
Enchiladas, United States
Fried Catfish, United States
Fish Tacos, United States
Rocky Mountain Oysters, United States
Lobster Mac and Cheese, United States
Fries with Vinegar, United States
Key Lime Pie, United States
Peach Cobbler, United States
Poke, United States
Finger Steaks, United States
Deep Dish Pizza, United States
Pork Tenderloin Sandwich, United States
Corn Dogs, United States
Burnt Ends, United States
Bourbon Bread Pudding, United States
Jambalaya, United States
Lobster Roll, United States
Crab Cakes, United States
New England Clam Chowder, United States
Pasties, United States
Tater Tot Hotdish, United States
Mud Pie, United States
Toasted Ravioli, United States
Bison Meatballs, United States
Deep-Fried Corn, United States
Prime Rib, United States
Cider Donuts, United States
Pork Roll, United States
Tamales, United States
Buffalo Wings, United States
Pulled Pork, United States
Strawberry Rhubarb Pie, United States
Cincinnati Chili, United States
Chicken Fried Steak, United States
Marionberry Crisp, United States
Philly Cheesesteak, United States
Johnnycakes, United States
Shrimp and Grits, United States
Pheasant, United States
Hot Chicken, United States
Barbecue Brisket, United States
Artisanal Chocolate, United States
Maple Cream Pie, United States
Smoked Ham, United States
Cedar Plank Salmon, United States
Cornbread, United States
Cheese Curds, United States
Elk Burger, United States
Deep-Dish Pizza, United States
Drop Biscuits and Sausage Gravy, United States
Texas Barbecue, United States
Hominy Grits, United States
Guay Teow (Noodle Soup), Thailand
Tom Yum Goong (Spicy Shrimp Soup), Thailand
Tom Kha Gai (Chicken in Coconut Soup), Thailand
Som Tam (Spicy Green Papaya Salad), Thailand
Yam Pla Dook Foo (Fried Catfish with Green Mango Salad), Thailand
Yam Talay (Spicy Seafood Salad), Thailand
Laab (Spicy Salad), Thailand
Pad Phuk Tong (Stir-Fried Pumpkin), Thailand
Pad Thai (Thai Style Fried Noodles), Thailand
Pad See Eiw (Thick Noodle Dish), Thailand
Pak Boong (Morning Glory), Thailand
Khao Pad (Fried Rice), Thailand
Pad Krapow (Fried Basil), Thailand
Panang (Thai Curry), Thailand
Gaeng Keow Wan (Green Curry), Thailand
Khao Soi (creamy coconut curry noodle soup), Thailand
Gai Tod (Fried Chicken), Thailand
Pad Phak (Fried Vegetables), Thailand
Kai Med Ma Muang (Chicken with Cashew Nuts), Thailand
Kai Jeow (Thai Omelette), Thailand
Kao Niew Ma Muang (Mango and Sticky Rice), Thailand
Pizza, Italy
Baked lasagna, Italy
Spaghetti carbonara, Italy
Pesto, Italy
Ravioli, Tortellini and Agnolotti, Italy
The Focaccia, Italy
Risotto, Italy
Polenta, Italy
The Minestrone, Italy
Fiorentina, Italy
Fritto Misto, Italy
White Truffle, Italy
Anchovy (or Alice), Italy
Stoccafisso e Baccalà, Italy
Tiramisu, Italy
Alu Gobi, India
Alu Matar, India
Barfi, India
Beef Vindaloo, India
Butter Chicken, India
Carrot Halwa, India
Chaat Papri, India
Cham-Cham, India
Chana Dal, India
Chana Masala, India
Chapati, India
Chicken Biriyani, India
Chicken Tikka, India
Chili Chicken, India
Coriander Chutney, India
Dal Makhani, India
Date Tamarind Chutney, India
Dhokla, India
Gulab Jamun, India
Idili, India
Jalebi, India
Kheema, India
Kheer, India
Kulfi, India
Ladoo, India
Lamb Kebabs, India
Lamb Vindaloo, India
Lime Pickle, India
Maili Kofta (Veggie Balls With Sauce), India
Mango Lassi, India
Masala Chai, India
Masala Dosa, India
Masoor Dal, India
Medu Vada, India
Naan, India
Navratan Korma (Nine Gem Curry), India
Onion Pakora, India
Papadum, India
Pulao, India
Aceitunas, Spain
Tortilla Española, Spain
Patatas Bravas, Spain
Calcots, Spain
Padron Peppers, Spain
Pintxos de Txampis, Spain
Queso de Cabrales, Spain
Anchoas / Boquerones, Spain
Gambas al Ajillo, Spain
Chipirones Fritos, Spain
Mejillones, Spain
Navajas, Spain
Bacalao, Spain
Pulpo a la Gallega, Spain
Percebes, Spain
Jamon Iberico de Bellota, Spain
Chorizo, Spain
Albondigas, Spain
Croqueta, Spain
La Bomba, Spain
Pinchos Morunos, Spain
Morcilla, Spain
Pintxos with Foie Gras, Spain
Oreja a la Plancha, Spain
Pa Amb Tomaquet, Spain
Bocadillo de Jamon, Spain
Bocadillo de Calamares, Spain
Paella, Spain
Fideua, Spain
Callos, Spain
